stock_id,date,open,high,low,close,volume,daily_return,sma_20,sma_50,volatility_20,rsi_14,bb_upper,bb_lower
STK100,2023-01-01,143.08125452106185,144.46261826898302,141.9263477125403,143.63502971184062,3272355,,143.63502971184062,143.63502971184062,,,,
STK100,2023-01-02,144.54473596374046,144.49217728736926,143.12013748701114,144.38350567605644,2360168,0.005210957004829542,144.00926769394852,144.00926769394852,,,,
STK100,2023-01-03,144.08609076084377,146.31939689279238,141.4466631949252,144.5940141918406,2247222,0.0014579817465887324,144.20418319324588,144.20418319324588,0.0026537542547274105,,,
STK100,2023-01-04,144.42194629683718,145.13624175553628,141.56066032100895,144.70486891628653,1958818,0.0007666619193436031,144.32935462400604,144.32935462400604,0.0023914606833266975,,,
STK100,2023-01-05,144.97782542900453,144.653051806848,140.85514401888804,143.85374252714834,1889784,-0.005881808922618692,144.2342322046345,144.2342322046345,0.00461373540569125,,,
STK100,2023-01-06,145.31263165743314,147.2061339497354,142.76859630305222,144.3090319719288,1454391,0.0031649468187768814,144.2466988325169,144.2466988325169,0.004184101457106251,,,
STK100,2023-01-07,145.1423742932041,145.046414863823,142.58111603960606,144.62789363424298,1439271,0.0022095752286399595,144.30115523276348,144.30115523276348,0.003777885284002603,,,
STK100,2023-01-08,147.1055268913225,149.71832637514558,146.63739567515853,146.66889276469507,1394043,0.014112071186030528,144.59712242425493,144.59712242425493,0.0059898574233824674,,,
STK100,2023-01-09,145.36808252897455,147.6536152153389,144.08451114812647,145.81799696538928,2193988,-0.005801474213560143,144.73277515104763,144.73277515104763,0.006359941009078835,,,
STK100,2023-01-10,142.31511948301952,142.59215116212565,141.05221366443075,142.34451962655726,2930788,-0.023820635388761224,144.4939495985986,144.4939495985986,0.01043677260557713,,,
STK100,2023-01-11,143.74033943601867,144.39554601109262,142.57389806682514,143.74665750144962,1962662,0.009850311614180152,144.42601395340324,144.42601395340324,0.010416121988810312,,,
STK100,2023-01-12,146.18120388694453,146.1849970691786,143.1689189108143,145.76812913123953,2182353,0.014062738326764412,144.53785688488958,144.53785688488958,0.010737847905758076,,,
STK100,2023-01-13,146.06644116257834,145.28948602250537,143.8444322669746,145.16498792824166,1423699,-0.004137675406774566,144.58609773437823,144.58609773437823,0.010361909225129886,,,
